ordinal;breakdown;lane;rank;heat;points;scoredisplay;time;workoutrank;competitorid;Number of Records
6;50 pts;16;6;1;50;05:04,9;05:04,9;6;53380;1
7;90 pts;16;2;1;90;05:07,2;05:07,2;2;53380;1
1;70 pts;17;4;1;70;08:11,5;08:11,5;4;12819;1
2;90 pts;37;2;1;90;20:12,8;20:12,8;2;12819;1
3;50 pts;16;6;1;50;03:34,1;03:34,1;6;12819;1
4;90 pts;16;2;1;90;12:04,7;12:04,7;2;12819;1
5;50 pts;14;6T;1;50;170.0 lb;170;6T;12819;1
6;70 pts;14;4;1;70;04:52,5;04:52,5;4;12819;1
7;40 pts;14;7;1;40;06:19,0;06:19,0;7;12819;1
1;20 pts;19;9;1;20;11:08,0;11:08,0;9;59899;1
2;40 pts;39;7;1;40;22:50,2;22:50,2;7;59899;1
3;60 pts;19;5;1;60;03:26,7;03:26,7;5;59899;1
4;30 pts;19;8;1;30;15:52,8;15:52,8;8;59899;1
5;100 pts;11;1;1;100;220.0 lb;220;1;59899;1
6;80 pts;11;3;1;80;04:49,8;04:49,8;3;59899;1
7;60 pts;11;5;1;60;06:04,4;06:04,4;5;59899;1
1;30 pts;18;8;1;30;09:05,2;09:05,2;8;299915;1
2;30 pts;38;8;1;30;23:24,1;23:24,1;8;299915;1
3;80 pts;11;3;1;80;03:04,7;03:04,7;3;299915;1
4;70 pts;11;4;1;70;12:57,1;12:57,1;4;299915;1
5;60 pts;18;5;1;60;185.0 lb;185;5;299915;1
6;30 pts;18;8;1;30;05:32,2;05:32,2;8;299915;1
7;50 pts;18;6;1;50;06:17,7;06:17,7;6;299915;1
1;60 pts;11;5;1;60;08:30,8;08:30,8;5;56292;1
2;50 pts;31;6;1;50;21:13,7;21:13,7;6;56292;1
3;30 pts;12;8;1;30;03:52,9;03:52,9;8;56292;1
4;20 pts;12;9;1;20;15:56,2;15:56,2;9;56292;1
5;50 pts;19;6T;1;50;170.0 lb;170;6T;56292;1
6;40 pts;19;7;1;40;05:24,3;05:24,3;7;56292;1
7;30 pts;19;8;1;30;06:57,5;06:57,5;8;56292;1
1;50 pts;13;6;1;50;08:36,8;08:36,8;6;221046;1
2;70 pts;33;4;1;70;20:26,2;20:26,2;4;221046;1
3;40 pts;13;7;1;40;03:41,5;03:41,5;7;221046;1
4;40 pts;13;7;1;40;15:10,2;15:10,2;7;221046;1
5;20 pts;12;9;1;20;155.0 lb;155;9;221046;1
6;20 pts;12;9;1;20;06:27,0;06:27,0;9;221046;1
7;20 pts;12;9;1;20;07:27,6;07:27,6;9;221046;1
1;100 pts;5;1;1;100;07:59,2;07:59,2;1;13983;1
2;100 pts;25;1;1;100;23:47,9;23:47,9;1;13983;1
3;90 pts;5;2;1;90;03:24,7;03:24,7;2;13983;1
4;100 pts;5;1;1;100;11:00,0;11:00,0;1;13983;1
5;70 pts;5;4T;1;70;135.0 lb;135;4T;13983;1
6;90 pts;5;2;1;90;03:02,9;03:02,9;2;13983;1
7;90 pts;5;2;1;90;03:24,1;03:24,1;2;13983;1
1;40 pts;7;7;1;40;10:02,0;10:02,0;7;19241;1
2;80 pts;27;3;1;80;24:51,7;24:51,7;3;19241;1
3;100 pts;7;1;1;100;03:18,3;03:18,3;1;19241;1
4;90 pts;7;2;1;90;12:51,1;12:51,1;2;19241;1
5;90 pts;6;2T;1;90;145.0 lb;145;2T;19241;1
6;80 pts;6;3;1;80;03:12,0;03:12,0;3;19241;1
7;70 pts;6;4;1;70;03:33,6;03:33,6;4;19241;1
1;30 pts;6;8;1;30;10:13,6;10:13,6;8;27530;1
2;30 pts;26;8;1;30;27:07,4;27:07,4;8;27530;1
3;40 pts;9;7;1;40;04:47,8;04:47,8;7;27530;1
4;70 pts;9;4;1;70;13:00,4;13:00,4;4;27530;1
5;90 pts;2;2T;1;90;145.0 lb;145;2T;27530;1
6;100 pts;2;1;1;100;02:28,5;02:28,5;1;27530;1
7;100 pts;2;1;1;100;03:04,1;03:04,1;1;27530;1
1;60 pts;4;5;1;60;09:20,5;09:20,5;5;29279;1
2;90 pts;24;2;1;90;24:19,5;24:19,5;2;29279;1
3;70 pts;4;4;1;70;04:16,1;04:16,1;4;29279;1
4;40 pts;4;7;1;40;14:05,0;14:05,0;7;29279;1
5;70 pts;4;4T;1;70;135.0 lb;135;4T;29279;1
6;50 pts;4;6;1;50;03:23,2;03:23,2;6;29279;1
7;50 pts;4;6;1;50;04:16,0;04:16,0;6;29279;1
1;70 pts;8;4;1;70;09:10,8;09:10,8;4;215328;1
2;50 pts;28;6;1;50;26:13,2;26:13,2;6;215328;1
3;50 pts;2;6;1;50;04:34,2;04:34,2;6;215328;1
4;60 pts;2;5;1;60;13:02,6;13:02,6;5;215328;1
5;30 pts;3;8T;1;30;115.0 lb;115;8T;215328;1
6;70 pts;3;4;1;70;03:14,4;03:14,4;4;215328;1
7;60 pts;3;5;1;60;03:45,1;03:45,1;5;215328;1
1;90 pts;10;2;1;90;08:23,4;08:23,4;2;24334;1
2;60 pts;30;5;1;60;26:11,8;26:11,8;5;24334;1
3;10 pts;6;10;1;10;CAP+57;CAP+57;10;24334;1
4;80 pts;6;3;1;80;12:56,7;12:56,7;3;24334;1
5;30 pts;7;8T;1;30;115.0 lb;115;8T;24334;1
6;30 pts;7;8;1;30;03:30,7;03:30,7;8;24334;1
7;80 pts;7;3;1;80;03:28,7;03:28,7;3;24334;1
1;80 pts;3;3;1;80;08:57,3;08:57,3;3;261786;1
2;40 pts;23;7;1;40;26:41,8;26:41,8;7;261786;1
3;30 pts;3;8;1;30;CAP+18;CAP+18;8;261786;1
4;30 pts;3;8;1;30;14:31,7;14:31,7;8;261786;1
5;40 pts;8;7;1;40;125.0 lb;125;7;261786;1
6;60 pts;8;5;1;60;03:14,6;03:14,6;5;261786;1
7;40 pts;8;7;1;40;04:18,7;04:18,7;7;261786;1
1;10 pts;1;10;1;10;12:59,4;12:59,4;10;100338;1
2;20 pts;21;9;1;20;30:25,6;30:25,6;9;100338;1
3;80 pts;10;3;1;80;03:38,6;03:38,6;3;100338;1
4;20 pts;10;9;1;20;14:57,4;14:57,4;9;100338;1
5;50 pts;10;6;1;50;130.0 lb;130;6;100338;1
6;40 pts;10;7;1;40;03:27,4;03:27,4;7;100338;1
7;30 pts;10;8;1;30;04:27,8;04:27,8;8;100338;1
1;50 pts;9;6;1;50;09:50,8;09:50,8;6;13813;1
2;70 pts;29;4;1;70;25:45,1;25:45,1;4;13813;1
3;20 pts;8;9;1;20;CAP+47;CAP+47;9;13813;1
4;10 pts;8;10;1;10;18:29,5;18:29,5;10;13813;1
5;30 pts;9;8T;1;30;115.0 lb;115;8T;13813;1
6;20 pts;9;9;1;20;03:38,3;03:38,3;9;13813;1
7;20 pts;9;9;1;20;05:06,2;05:06,2;9;13813;1
1;20 pts;2;9;1;20;11:07,9;11:07,9;9;1900;1
2;10 pts;22;10;1;10;32:39,9;32:39,9;10;1900;1
3;60 pts;1;5;1;60;04:25,3;04:25,3;5;1900;1
4;50 pts;1;6;1;50;13:07,3;13:07,3;6;1900;1
5;100 pts;1;1;1;100;160.0 lb;160;1;1900;1
6;;1;WD;1;0;;;WD;1900;1
7;;1;WD;1;0;;;WD;1900;1
1;90 pts;15;2;1;90;09:30,2;09:30,2;2;750230;1
2;90 pts;54;2;1;90;22:24,8;22:24,8;2;750230;1
3;20 pts;15;9;1;20;CAP+3;CAP+3;9;750230;1
4;80 pts;15;3;1;80;15:32,1;15:32,1;3;750230;1
5;60 pts;14;5T;1;60;165.0 lb;165;5T;750230;1
6;100 pts;14;1;1;100;05:21,0;05:21,0;1;750230;1
7;80 pts;14;3;1;80;06:16,8;06:16,8;3;750230;1
1;30 pts;18;8;1;30;11:10,0;11:10,0;8;24918;1
2;80 pts;57;3;1;80;23:02,5;23:02,5;3;24918;1
3;100 pts;13;1;1;100;02:14,9;02:14,9;1;24918;1
4;30 pts;13;8;1;30;CAP+1;CAP+1;8;24918;1
5;60 pts;17;5T;1;60;165.0 lb;165;5T;24918;1
6;90 pts;17;2;1;90;05:30,6;05:30,6;2;24918;1
7;100 pts;17;1;1;100;05:20,2;05:20,2;1;24918;1
1;50 pts;16;6;1;50;10:02,2;10:02,2;6;283002;1
2;40 pts;55;7;1;40;24:01,4;24:01,4;7;283002;1
3;90 pts;18;2;1;90;02:44,9;02:44,9;2;283002;1
4;100 pts;18;1;1;100;14:51,5;14:51,5;1;283002;1
5;100 pts;16;1T;1;100;185.0 lb;185;1T;283002;1
6;60 pts;16;5;1;60;06:43,8;06:43,8;5;283002;1
7;40 pts;16;7;1;40;07:53,6;07:53,6;7;283002;1
1;60 pts;14;5;1;60;09:52,8;09:52,8;5;536200;1
2;10 pts;53;10;1;10;26:13,5;26:13,5;10;536200;1
3;80 pts;12;3;1;80;03:05,2;03:05,2;3;536200;1
4;70 pts;12;4;1;70;15:38,8;15:38,8;4;536200;1
5;100 pts;12;1T;1;100;185.0 lb;185;1T;536200;1
6;80 pts;12;3;1;80;06:10,8;06:10,8;3;536200;1
7;70 pts;12;4;1;70;06:24,6;06:24,6;4;536200;1
1;80 pts;13;3;1;80;09:30,7;09:30,7;3;18975;1
2;70 pts;52;4;1;70;23:37,9;23:37,9;4;18975;1
3;70 pts;14;4;1;70;03:20,1;03:20,1;4;18975;1
4;90 pts;14;2;1;90;15:14,9;15:14,9;2;18975;1
5;40 pts;15;7T;1;40;155.0 lb;155;7T;18975;1
6;20 pts;15;9;1;20;CAP+32;CAP+32;9;18975;1
7;90 pts;15;2;1;90;05:43,0;05:43,0;2;18975;1
1;100 pts;12;1;1;100;09:00,1;09:00,1;1;57724;1
2;20 pts;51;9;1;20;25:37,1;25:37,1;9;57724;1
3;50 pts;17;6;1;50;03:36,6;03:36,6;6;57724;1
4;60 pts;17;5;1;60;17:29,4;17:29,4;5;57724;1
5;40 pts;13;7T;1;40;155.0 lb;155;7T;57724;1
6;70 pts;13;4;1;70;06:27,1;06:27,1;4;57724;1
7;60 pts;13;5;1;60;07:19,9;07:19,9;5;57724;1
1;40 pts;19;7;1;40;10:10,1;10:10,1;7;464020;1
2;30 pts;58;8;1;30;25:21,1;25:21,1;8;464020;1
3;40 pts;20;7;1;40;03:43,6;03:43,6;7;464020;1
4;50 pts;20;6;1;50;17:34,6;17:34,6;6;464020;1
5;100 pts;19;1T;1;100;185.0 lb;185;1T;464020;1
6;50 pts;19;6;1;50;07:34,7;07:34,7;6;464020;1
7;30 pts;19;8;1;30;CAP+1;CAP+1;8;464020;1
1;10 pts;17;10;1;10;14:37,7;14:37,7;10;661916;1
2;60 pts;56;5;1;60;23:48,1;23:48,1;5;661916;1
3;60 pts;19;5;1;60;03:30,6;03:30,6;5;661916;1
4;20 pts;19;9;1;20;CAP+11;CAP+11;9;661916;1
5;70 pts;11;4;1;70;170.0 lb;170;4;661916;1
6;40 pts;11;7;1;40;CAP+5;CAP+5;7;661916;1
7;50 pts;11;6;1;50;07:40,1;07:40,1;6;661916;1
1;70 pts;20;4;1;70;09:40,5;09:40,5;4;256405;1
2;100 pts;59;1;1;100;20:33,4;20:33,4;1;256405;1
3;10 pts;16;10;1;10;CAP+3;CAP+3;10;256405;1
4;40 pts;16;7;1;40;CAP;CAP;7;256405;1
5;20 pts;18;9;1;20;150.0 lb;150;9;256405;1
6;30 pts;18;8;1;30;CAP+7;CAP+7;8;256405;1
7;20 pts;18;9;1;20;CAP+7;CAP+7;9;256405;1
1;20 pts;11;9;1;20;11:47,5;11:47,5;9;522158;1
2;50 pts;50;6;1;50;23:50,7;23:50,7;6;522158;1
3;30 pts;11;8;1;30;04:55,2;04:55,2;8;522158;1
4;10 pts;11;10;1;10;CAP+31;CAP+31;10;522158;1
5;10 pts;20;10;1;10;140.0 lb;140;10;522158;1
6;10 pts;20;10;1;10;CAP+36;CAP+36;10;522158;1
7;10 pts;20;10;1;10;CAP+11;CAP+11;10;522158;1
1;100 pts;5;1;1;100;08:29,8;08:29,8;1;150577;1
2;100 pts;44;1;1;100;23:53,8;23:53,8;1;150577;1
3;100 pts;5;1;1;100;02:48,0;02:48,0;1;150577;1
4;100 pts;5;1;1;100;11:57,2;11:57,2;1;150577;1
5;100 pts;5;1T;1;100;120.0 lb;120;1T;150577;1
6;100 pts;5;1;1;100;02:52,4;02:52,4;1;150577;1
7;100 pts;5;1;1;100;03:14,2;03:14,2;1;150577;1
1;70 pts;4;4;1;70;11:13,6;11:13,6;4;330392;1
2;90 pts;43;2;1;90;24:44,5;24:44,5;2;330392;1
3;40 pts;4;7;1;40;CAP+6;CAP+6;7;330392;1
4;90 pts;4;2;1;90;14:20,2;14:20,2;2;330392;1
5;100 pts;6;1T;1;100;120.0 lb;120;1T;330392;1
6;70 pts;6;4;1;70;03:50,7;03:50,7;4;330392;1
7;80 pts;6;3;1;80;04:56,0;04:56,0;3;330392;1
1;50 pts;6;6;1;50;12:05,1;12:05,1;6;145039;1
2;30 pts;45;8;1;30;30:19,4;30:19,4;8;145039;1
3;80 pts;2;3;1;80;CAP+2;CAP+2;3;145039;1
4;30 pts;2;8;1;30;CAP+15;CAP+15;8;145039;1
5;40 pts;8;7T;1;40;100.0 lb;100;7T;145039;1
6;90 pts;8;2;1;90;03:32,9;03:32,9;2;145039;1
7;90 pts;8;2;1;90;04:43,3;04:43,3;2;145039;1
1;80 pts;9;3;1;80;10:41,6;10:41,6;3;819703;1
2;80 pts;48;3;1;80;24:57,1;24:57,1;3;819703;1
3;30 pts;7;8;1;30;CAP+6;CAP+6;8;819703;1
4;60 pts;7;5;1;60;17:28,7;17:28,7;5;819703;1
5;20 pts;4;9;1;20;90.0 lb;90;9;819703;1
6;60 pts;4;5;1;60;03:55,0;03:55,0;5;819703;1
7;70 pts;4;4;1;70;04:57,1;04:57,1;4;819703;1
1;10 pts;7;10;1;10;CAP+103;CAP+103;10;243666;1
2;40 pts;46;7;1;40;27:46,5;27:46,5;7;243666;1
3;70 pts;1;4;1;70;CAP+5;CAP+5;4;243666;1
4;70 pts;1;4;1;70;16:26,5;16:26,5;4;243666;1
5;70 pts;2;4;1;70;115.0 lb;115;4;243666;1
6;80 pts;2;3;1;80;03:45,7;03:45,7;3;243666;1
7;60 pts;2;5;1;60;05:11,9;05:11,9;5;243666;1
1;30 pts;10;8;1;30;13:00,1;13:00,1;8;198927;1
2;60 pts;49;5;1;60;26:51,2;26:51,2;5;198927;1
3;90 pts;8;2;1;90;CAP+1;CAP+1;2;198927;1
4;20 pts;8;9;1;20;CAP+130;CAP+130;9;198927;1
5;100 pts;7;1T;1;100;120.0 lb;120;1T;198927;1
6;40 pts;7;7;1;40;04:52,2;04:52,2;7;198927;1
7;40 pts;7;7;1;40;05:39,1;05:39,1;7;198927;1
1;60 pts;3;5;1;60;11:53,2;11:53,2;5;312883;1
2;50 pts;42;6;1;50;27:15,1;27:15,1;6;312883;1
3;10 pts;3;10;1;10;CAP+6;CAP+6;10;312883;1
4;50 pts;3;6;1;50;CAP;CAP;6;312883;1
5;40 pts;1;7T;1;40;100.0 lb;100;7T;312883;1
6;50 pts;1;6;1;50;04:24,4;04:24,4;6;312883;1
7;50 pts;1;6;1;50;05:29,7;05:29,7;6;312883;1
1;40 pts;2;7;1;40;12:14,2;12:14,2;7;32842;1
2;10 pts;41;10;1;10;45:00,0;45:00,0;10;32842;1
3;50 pts;9;6;1;50;CAP+5;CAP+5;6;32842;1
4;80 pts;9;3;1;80;16:25,9;16:25,9;3;32842;1
5;60 pts;9;5T;1;60;105.0 lb;105;5T;32842;1
6;20 pts;9;9;1;20;05:51,2;05:51,2;9;32842;1
7;30 pts;9;8;1;30;06:04,6;06:04,6;8;32842;1
1;20 pts;8;9;1;20;16:22,4;16:22,4;9;702085;1
2;20 pts;47;9;1;20;30:36,2;30:36,2;9;702085;1
3;60 pts;10;5;1;60;CAP+5;CAP+5;5;702085;1
4;40 pts;10;7;1;40;CAP+1;CAP+1;7;702085;1
5;60 pts;10;5T;1;60;105.0 lb;105;5T;702085;1
6;30 pts;10;8;1;30;04:54,0;04:54,0;8;702085;1
7;20 pts;10;9;1;20;06:39,3;06:39,3;9;702085;1
1;90 pts;1;2;1;90;10:21,4;10:21,4;2;62910;1
2;70 pts;40;4;1;70;25:55,4;25:55,4;4;62910;1
3;20 pts;6;9;1;20;CAP+6;CAP+6;9;62910;1
4;10 pts;6;10;1;10;CAP+142;CAP+142;10;62910;1
5;;3;WD;1;0;;;WD;62910;1
6;;3;WD;1;0;;;WD;62910;1
7;;3;WD;1;0;;;WD;62910;1
